Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Where is Azure Support available?	Support is available in markets where Microsoft Azure is offered. Some specific services may not be covered in all regions immediately after General Availability (GA).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	1
For which languages does Microsoft provide support?	Microsoft provides support in nine languages: English, Spanish, French, German, Italian, Portuguese, Traditional Chinese, Korean, and Japanese.\n\nMicrosoft provides 24x7 support in English for all severities and in Japanese for severity A only. Support is available during local business hours only for all other supported languages and severities. Support outside business hours will be provided in English (with translation services). You may choose to wait for the next business day to receive support in your language.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	2
Do I get 24x7 support?	Microsoft provides 24x7 in English for severity A and B and in Japanese for severity A. Developer support includes on severity C, the lowest severity level.\n\nFor all other supported languages, Microsoft provides assistance during local business hours only. During non-business hours, you can request to have an English-speaking engineer support you, with the option of using our free-of-charge translation services, if needed. You can also choose to wait until the next business day to receive help in one of the supported languages other than English.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	3
What is considered local business hours for support?	For North America, Business Hours are defined as 6:00 A.M. to 6:00 P.M. Pacific time, Monday through Friday excluding holidays for North America. Business Hours change by country and by the local holiday calendar. For most countries in the world, Business Hours refer to the hours between 9:00 A.M. and 5:00 P.M. during week days (weekends and holidays excluded)	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	4
Do I need a support plan if I need assistance with a technical issue experienced with Microsoft Azure?	Yes, you need an Azure paid support plan to receive one-on-one technical support. More information about the existing support plans can be found at the [Azure Support Plans](https://azure.microsoft.com/en-us/support/plans/) page.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	5
What are my options to receive technical support if I don't have a support plan?	Get answers to your technical questions in [Microsoft Q&A](https://docs.microsoft.com/en-us/answers/products/azure?product=all), a community support channel where you can learn, connect, and exchange ideas with community experts, Microsoft engineers, and other customers. In addition, the robust search tool within Microsoft Q&A ingests answers from a variety of sources, making it a valuable self-help resource to meet your learning needs.\n\n*   Technical support benefits may be available even if you don’t have a support plan. If you are a member of certain programs like MPN, MSDN or BizSpark, you may be eligible for limited Azure Support benefits from those Programs. Please refer to your service terms and conditions to understand your support options and benefits.\n\n*   Your Azure subscription includes access to subscription management support, e.g. billing, quota adjustment, account transfer, at no additional cost. You can get started with your request in the [Azure Portal](https://portal.azure.com/). In addition, Microsoft Azure subscriptions include access to the [Azure Status Dashboard](https://status.azure.com/) and the [Microsoft Q&A](https://docs.microsoft.com/en-us/answers/products/azure?product=all) to help you troubleshoot issues.Load more FAQs	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	6
What support is included without an Azure Support plan?	Your Microsoft Azure subscription includes access to subscription management support (e.g. billing, quota adjustment, account transfer) at no additional cost. You can get started with your request in the [Azure Portal](https://portal.azure.com/). In addition, Microsoft Azure subscriptions include access to the [Azure Status Dashboard](https://status.azure.com/) and the [Azure Forums](https://azure.microsoft.com/en-us/support/community/) to help you troubleshoot issues.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	7
What support is included with an Azure Support plan?	We have designed our Azure Support plans to meet different business needs. Paid support plans provide access to Technical Support for break-fix issues on a 24x7 basis. Higher tiers of support plans offer faster initial response times and access to Advisory support, Configuration Optimization Reviews, and other benefits. More information about the existing support plans can be found at the [Azure Support Plans](https://azure.microsoft.com/en-us/support/plans/) page.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	8
What is break-fix issue?	Break-fix issues are technical problems you experience while using Azure services. "Break-fix" is an industry term that refers to “work involved in supporting a technology when it fails in the normal course of its function, which requires intervention by a support organization to be restored to working order."	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	9
How does Professional Direct Limited Advisory Support compare to Premier Advisory support?	Professional Direct (ProDirect) Advisory support provides you access to Azure Support guidance based on (1) publically available, best practices documentation regarding Microsoft Azure and (2) information from the Azure Forums. ProDirect advisors offer you support based on their access to Microsoft documentation, to the Microsoft Azure Support Engineers, and also to the Microsoft Azure product group. Best practices guidance may include, for example,\n\n*   Planning for deployments and migrations\n\n*   Planning for hybrid cloud solutions\n\n*   Boosting performance\n\n*   Improving reliability and recoverability\n\n*   Enhancing security\n\nProDirect, however, is more limited than Premier Advisory Support. ProDirect advisors do not provide detailed advisory assistance specific to an individual customer such as design, architecture, or code reviews; detailed instructions for application or configuration tuning (e.g., performance tuning); or the verification of specifications. ProDirect does not provide onsite support or engage in implementation activities such as, but not limited to, coding or configuration for customer development or deployment on Microsoft Azure.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	10
What is a Preview (beta) service or feature?	Microsoft may provide access to Azure preview, beta, or other pre-release features, services, software, or regions, to obtain feedback and for evaluation purposes. Previews that are available are identified by a “Preview” tag in the Azure Portal. They are also listed on the [Preview page](https://azure.microsoft.com/en-us/services/preview/) or in the [Preview section of the Azure Portal](https://azure.microsoft.com/en-us/services/preview/).\n\nThere are many different kinds of Preview Services and Features for Microsoft Azure, with service availability and program access being the biggest differentiators:\n\n*   Public Preview: made available to Microsoft Azure subscribers through the [Azure Portal](https://portal.azure.com/), these services are intended to be used as an early-look into what is coming and as a chance to test upcoming services and features.\n\n*   Private Preview: provided only to small subset of customers, in direct contact with the Azure Engineering teams, focused on direct and constant feedback during the development phase of a service\n\n*   Limited Preview: a fixed and limited number of customers can have access to this Preview program, and once a maximum threshold is met, no more users are allowed into the program.\n\nWhen Microsoft offers you early access to Azure preview services and features, they are subject to reduced or different service terms as set forth in your service agreement and the preview supplemental terms. Preview Services and Features are provided “as-is”, “with all faults”, and “as available”, and are excluded from the Service SLAs or any Limited Warranties provided by Microsoft for Azure Services released to general availability (GA), and are made available to you on the condition that you agree to these terms of use, which supplement your agreement governing use of Microsoft Azure.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	11
Do Azure Support Plans cover Preview (beta) services or features?	Support for Preview services and features is provided only for “Public Preview” programs (see FAQ above). Other non-Public Preview and/or Beta services may be supported through our forums or other channels. Azure Support plans do not cover non-Public Previews services.\n\nGenerally, Azure paid support plans provide technical support for services and features in Public Preview. Some exceptions to the Public Preview support coverage applies, and services/features not covered on your support plan can be found [here](https://azure.microsoft.com/en-us/services/preview/). Private or Limited previews are not included in the scope of the Azure Support plans and may or may not be supported through the [Azure Forums](https://azure.microsoft.com/en-us/support/community/).\n\nTechnical support for a Public Preview service or feature is limited to break-fix scenarios and is available only in English with 24x7 support available for severities A and B (according to your support plan).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	12
What are Azure Support Benefits and how do I get them?	Access to Azure technical support requires a [paid support plan](https://azure.microsoft.com/en-us/support/plans/). However, some Microsoft programs could give you access to Azure technical support via Support Benefits even if you don’t have a paid support plan. The following programs include Azure Support Benefits:\n\n*   [MSDN and BizSpark](https://www.visualstudio.com/subscriptions/)\n\n*   [Microsoft Partner Network](https://partner.microsoft.com/membership/core-benefits)\n\n*   [Signature Cloud Support](https://partner.microsoft.com/Support/signature-cloud-support)\n\nEach of these programs will give you different support benefits, from response times to the number of requests that can be submitted. Please check the details of each program from the links above for more information.\n\nThere are also some programs like MSDN and BizSpark Plus that give you other Microsoft Azure Benefits on top of access to Technical Support, such as monthly usage credits, free services and discounted consumption rates. Check the details of these programs for more information.\n\n## Using Azure Support	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	13
How do I contact Azure Support?	You get easy access to Azure Support by going online to the [Azure portal](https://portal.azure.com/#blade/Microsoft_Azure_Support/HelpAndSupportBlade/newsupportrequest) and submitting a support request. Access to subscription management and billing support is included with your Microsoft Azure subscription, and technical support is provided through one of the [Azure Support Plans](https://azure.microsoft.com/en-us/support/plans/). For step-by-step guidance for the Azure portal, see [How to create an Azure support request](https://docs.microsoft.com/en-us/azure/azure-portal/supportability/how-to-create-azure-support-request). Alternatively, you can create and manage your support tickets programmatically using the [Azure Support ticket REST API](https://docs.microsoft.com/en-us/rest/api/support/).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	14
Why is submitting a request online the preferred method of contacting Azure Support?	Submitting support requests online allows us to deliver fast and deep technical expertise in the most effective and efficient manner possible. Due to the detailed nature of the requests, it is much easier to provide relevant information online, compared to reading this information over the phone. This model also eliminates unproductive hold time for a simple, intuitive online process. As a result, customer problems are routed more quickly, to the most qualified engineer.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	15
Is there a phone number I can call to contact the Azure Support?	Contacting the Microsoft Azure Support over the phone will not speed up the processing of your request and you will get a much better and faster experience by contacting support via the [Azure Portal](https://portal.azure.com/). If you cannot submit a request online, you can find a local support number from our list of regional [Global Customer Service](https://support.microsoft.com/help/4051701/global-customer-service-phone-numbers) Centers.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	16
How do I submit a support request?	Submit a support request from the [Azure Portal](https://portal.azure.com/?#blade/Microsoft_Azure_Support/HelpAndSupportBlade/). Simply select "Support" from the menu bar or open the "Help + support" hub. For more detailed information, please review [How to create an Azure support request](https://docs.microsoft.com/en-us/azure/azure-portal/supportability/how-to-create-azure-support-request). Access to Subscription Management and billing support is included with your Microsoft Azure subscription, and Technical Support is provided through one of the [Azure Support Plans](https://azure.microsoft.com/en-us/support/plans/).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	17
How do I submit a technical support request by using Azure Support Benefits?	Access to Azure technical support requires a [paid support plan](https://azure.microsoft.com/en-us/support/plans/). However, some Microsoft programs could give you access to Azure technical support via Support Benefits even if you don’t have a paid support plan. If you have these benefits, then from [Azure Portal Support Request Submission](https://portal.azure.com/?#blade/Microsoft_Azure_Support/HelpAndSupportBlade), select “Additional Options” under the “Support Plan” step and enter your Access ID and Contract ID information to proceed.\n\nIf you have not yet activated your technical support benefits, please do so by following these steps, depending on which program entitles you to support benefits. You will need your Access ID and Contract ID to take advantage of your Azure Support Benefits.\n\n**MSDN/BizSpark** - Log in to the [MSDN Management Portal](https://msdn.microsoft.com/subscriptions/manage/) and activate your support benefit by clicking the technical support link at the bottom of the page. The option listed below is only displayed if you are entitled for Technical Support Benefits.\n\n**MPN/SCS** - contact the MPN Regional Support Center by going to [https://partner.microsoft.com/support](https://partner.microsoft.com/support). From there, sign in to your MPN Account and contact support.\n\nSupport for billing and subscription management issues is included with your Microsoft Azure subscription at no additional charge, so you don’t need to use your technical support benefits to receive support from Microsoft for billing or subscription related issues.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	18
How do I submit a support request if I cannot log in to the portal?	If you are unable to log in to the Azure Portal, visit [https://aka.ms/AzurePortalHelp](https://aka.ms/AzurePortalHelp) for assistance.Load more FAQs	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	19
How do I get support if I don’t have an Azure subscription yet, and I get an error message while creating one?	You can open a Subscription Management support request through the [Azure portal](https://portal.azure.com/), even if your subscription has not yet been created.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	20
Who can submit a support request?	The [account administrator, service administrator, or co-administrator](https://docs.microsoft.com/en-us/azure/) on the subscription can submit a support request. Additionally any users with ‘write permissions’ ([Owner/Contributor](https://azure.microsoft.com/en-us/updates/role-based-access-control-in-azure-preview-portal/)) to a subscription or with the built-in role "Support Request Contributor" will be able to submit and manage a support request related to that given subscription.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	21
How do I authorize another person to submit support requests for a particular Azure subscription?	To grant permission, you have to be a subscription administrator or owner on the required subscription. Assign the Support Request Contributor role at the subscription scope, to all users who want to create and manage support requests for that given subscription. [Learn more](https://docs.microsoft.com/en-us/azure/azure-portal/supportability/how-to-create-azure-support-request#role-based-access-control) about role assignments in the portal.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	22
I am developing applications on-behalf of, or assisting my client that is running on Microsoft Azure. How do I get support?	You can get support from Azure in two ways:\n\n*   Being the Account Administrator of your customer’s subscription, you can purchase an Azure Support plan for that account, as with any subscription you own under the same account are covered by the same support plan. You can also use your Partner benefits (for example, Signature Cloud Support or MPN Support) to submit a support request, without having to acquire a dedicated Azure Support plan.\n\n*   Get support using your customer’s account. To do so, the Partner (you) must have administrator or owner privileges to the customer’s subscription. The customer’s subscription then needs to have a support plan covering it, or the Partner can use their Azure Support Benefits (for example, Signature Cloud Support or MPN Support) to submit a support request, without having to acquire a dedicated Azure Support plan.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	23
What is Initial Response Time and how quickly can I expect to hear back from someone after submitting my support request?	Initial Response Time is the period from when you submit your support request to when a Microsoft Support Engineer contacts you and starts working on your support request. The Initial Response Time varies with both the support plan and the Business Impact of the request (also known as Severity).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	24
How quickly will you resolve my support request?	Microsoft is committed to assist you in resolving your issue as soon as possible. Sometimes that means focusing efforts on reducing the business impact and mitigating any negative impact to your operation, before moving to a full solution. Therefore, we make a commitment to Initial Response Time and also in working with you until the impact of your issue is mitigated, having no direct SLA for support request resolution. The time it takes to troubleshoot and resolve a support request varies greatly based on the specifics of the issue. We will work with you to get the issue resolved as fast as possible.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	25
I’m running a non-Microsoft technology on Microsoft Azure or a custom application built using Open Source Software (OSS). Does my plan support it?	Microsoft offers customers the ability to run non-Microsoft technologies on the Microsoft Azure platform, including but not limited to Linux, Oracle, SAP, and IBM. For all scenarios that are eligible for support through an Azure Support plan, Microsoft Support will help in isolating the issue between the Microsoft Azure Service and your custom application.\n\nFull technical support will be provided if the issue is determined to be caused by a Microsoft Azure service or platform. Commercially reasonable support will be provided to all other scenarios. When an adequate solution to your issue is not achieved, you might be referred to other support channels that are available for the non-Microsoft software.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	26
How do I get support during an Outage or Service Interruption Event (SIE)?	Start by referring to [Azure Service Health](https://azure.microsoft.com/en-us/features/service-health/), a personalized dashboard that provides guidance and support when issues in Azure services affect you. Unlike our public [status page](https://status.azure.com/) which provides general status information, Azure Service Health provides tailored information about the impact to your resources. To be notified of service issues, use Azure Service Health to [configure alerts](https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitoring-activity-log-alerts-on-service-notifications?toc=/azure/service-health/toc.json) so that the right people are notified of service health events affecting your resources. Finally, if Azure Service Health does not show any active or recent service issues, [contact support](https://portal.azure.com/#blade/Microsoft_Azure_Support/HelpAndSupportBlade/overview) using your [technical support plan](https://azure.microsoft.com/en-us/support/plans/).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	27
Which support plan do I need in order to request a Root-Cause Analysis (RCA)?	If you have opened an Azure technical support case and need an RCA, you can request one for all Azure support plans, including Premier.\n\n## Purchasing & Billing	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	28
How do I purchase an Azure support plan?	You may purchase a support plan online through the [Azure website](https://azure.microsoft.com/en-us/support/options/) or [Azure portal](https://portal.azure.com/?quickstart=true&CAF=true#blade/Microsoft_Azure_Support/HelpAndSupportBlade/overview). A support plan is also available with a Microsoft Customer Agreement. If you have an Enterprise Agreement and you’d like to purchase a Professional Direct support plan, contact your Microsoft representative or partner.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	29
What does the monthly cost over?	The monthly support plan cost covers one billing account, regardless of how many subscriptions or users are on the account.\n\nAll subscriptions under a billing account share the same support plan, and all users with admin/owner access to any of the subscriptions under the account with a support plan are entitled to support for those subscriptions. Go to the [Azure portal](https://portal.azure.com/) to see the list of subscriptions in your account.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	30
